,Brand,Avg Rating,Total Comment,Seller Rating,Notebook Type,Memory Speed,Bluetooth,Weight,Touch Screen,Screen Size,GPU Type,GPU,CPU Generation,CPU Type,OS,Max CPU Speed,Screen Resolution,Finger Print,RAM,RAM Type,HDD,SSD,Charging Time,CPU Speed,Price
537,Lenovo,,,"9,9",Notebook,2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Yok,AMD Athlon Gold,Yok (Free Dos),3.3 GHz,1366 x 768,Yok,12 GB,DDR4,Yok,128 GB,,2.4 GHz,5.545 TL
538,Monster,4.9,15,"9,9",Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Yok (Free Dos),4.5 GHz,2560 x 1440,Yok,16 GB,DDR4,Yok,500 GB,3 Saat ve Altý,2.3 GHz,31.947 TL
539,Acer,,,10,Notebook,4266 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,5.Nesil,AMD Ryzen 5,Yok (Free Dos),4.0 GHz,1920 x 1080,Var,8 GB,LPDDR4X,Yok,512 GB,,2.1 GHz,9.199 TL
540,Dell,4.8,64,10,Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Ubuntu,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.4 GHz,12.999 TL
541,Asus,4.6,10,"9,8",Notebook,2666 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,4 - 6 Saat,2.4 GHz,11.439 TL
542,Lenovo,4.0,1,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Var,32 GB,DDR4,Yok,1 TB,4 - 6 Saat,2.4 GHz,22.842 TL
543,Dell,4.5,13,"9,7",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,3.Nesil,AMD Ryzen 7,Ubuntu,4 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.3 GHz,9.999 TL
544,Lenovo,3.3,6,,Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,5.Nesil,AMD Ryzen 7,Yok (Free Dos),1.8 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,4.3 GHz,14.100 TL
545,Asus,4.7,3,"9,8",Notebook,2666 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Harici Ekran Kartý,DDR5,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.2 GHz,12.988 TL
546,Lenovo,5.0,2,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Var,"13,3 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Var,16 GB,DDR4,Belirtilmemiþ,512 GB,4 - 6 Saat,2.7 GHz,25.190 TL
547,Lenovo,4.0,1,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,1 TB,3 Saat ve Altý,2.40 GHz,12.799 TL
548,Hometech,3.9,24,10,Notebook,Belirtilmemiþ,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,Yok,Intel Celeron,Windows 10 Home,2.4 GHz,1366 x 768,Yok,4 GB,DDR4,Yok,128 GB,,1.10 GHz,3.133 TL
549,Acer,4.2,16,"9,2",Notebook,2133 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,Ryzen,AMD A4,Windows 10 Home,1.2 GHz,1280 x 720,Yok,4 GB,DDR4,Yok,128 GB,,1 GHz,4.098 TL
550,Lenovo,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Var,12 GB,DDR4,Yok,256 GB,6 Saat ve Üstü,2.40 GHz,10.499 TL
551,Lenovo,,,"9,9",Notebook,3200 MHz,Belirtilmemiþ,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Yok,12 GB,DDR4,Yok,256 GB,,2.4 GHz,12.376 TL
552,HP,,,"9,7",Oyun Bilgisayarlarý,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Windows 10 Home,4.8 GHz,1920 x 1080,Yok,32 GB,DDR4,1 TB,256 GB,6 Saat ve Üstü,3.1 GHz,25.174 TL
553,Lenovo,,,"9,8",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,1.6 GHz,10.874 TL
554,Lenovo,,,10,Ýkisi Bir Arada,3200 MHz,Var,1 - 2 kg,Var,13 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,2160 x 1350,Yok,16 GB,DDR4,Yok,1 TB,6 Saat ve Üstü,2.8 GHz,23.800 TL
555,Asus,2.9,8,09,Notebook,3200 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD A9,Windows 10 Home,3.2 GHz,1366 x 768,Yok,4 GB,DDR4,128 GB,128 GB,,3.2 GHz,5.199 TL
556,Lenovo,,,"9,9",Notebook,3200 MHz,Belirtilmemiþ,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Yok,12 GB,DDR4,Yok,256 GB,,2.4 GHz,12.376 TL
557,Lenovo,,,"9,8",Notebook,3200 MHz,Var,2 - 4 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Windows 10 Pro,4 GHz,1920 x 1080,Yok,12 GB,DDR4,Yok,256 GB,,2.1 GHz,10.725 TL
558,Asus,4.0,4,"9,6",Notebook,1333 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Belirtilmemiþ,Yok,Intel Celeron,Endless OS,2.4 GHz,1366 x 768,Yok,4 GB,DDR4,1 TB,Yok,4 - 6 Saat,1.1 GHz,4.249 TL
559,Acer,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,10. Nesil,Intel Core i5,Windows 10 Home,3.6 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,4 - 6 Saat,1 GHz,11.499 TL
560,Asus,5.0,2,"9,7",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10. Nesil,Intel Core i5,Windows 11 Home,3.6 GHz,1920 x 1080,Yok,12 GB,DDR4,Belirtilmemiþ,256 GB,,1 GHz,9.499 TL
561,Asus,,,10,Notebook,2666 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Windows 11 Home,4.8 GHz,1920 x 1080,Yok,24 GB,DDR4,Yok,1 TB,,3.3 GHz,25.118 TL
562,Lenovo,,,10,Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,3.Nesil,AMD Ryzen 3,Yok (Free Dos),3.5 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,4 - 6 Saat,2.6 GHz,6.429 TL
563,Game Garaj,5.0,4,"9,8",Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i3,Yok (Free Dos),3.6 GHz,1280 x 720,Yok,8 GB,DDR4,Yok,256 GB,3 Saat ve Altý,1.2 GHz,7.300 TL
564,Lenovo,,,"9,8",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,256 GB,6 Saat ve Üstü,2.40 GHz,10.778 TL
565,Dell,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Belirtilmemiþ,8 GB,DDR4,Yok,512 GB,,2.40 GHz,12.199 TL
566,Dell,,,"9,6",Notebook,2666 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Yok (Free Dos),5 GHz,1920 x 1080,Var,32 GB,DDR4,Yok,1 TB,,3.4 GHz,22.693 TL
567,Asus,,,,Oyun Bilgisayarlarý,4800 MHz,Var,2 - 4 kg,Yok,16 inç,Harici Ekran Kartý,GDDR6,Ryzen,AMD Ryzen 7,Windows 11 Home,4.9 GHz,1920 x 1200,Belirtilmemiþ,32 GB,DDR5,Yok,1 TB,3 Saat ve Altý,3.2 GHz,54.900 TL
568,HP,3.8,6,"9,9",Notebook,2666 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,5.Nesil,AMD Ryzen 5,Windows 10 Home,4 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.1 GHz,9.399 TL
569,Dell,,,10,Notebook,2666 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.4 GHz,13.999 TL
570,Asus,,,"9,9",Notebook,2933 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i7,Yok (Free Dos),3.9 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,1.3 GHz,12.824 TL
571,Asus,5.0,11,9,Notebook,2666 MHz,Var,1 - 2 kg,Yok,"13,3 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,LPDDR4X,Yok,512 GB,,1.2 GHz,16.949 TL
572,Lenovo,,,"9,8",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 11 Pro,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,1.6 GHz,11.718 TL
573,Lenovo,4.5,2,"9,8",Notebook,2933 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,6.Nesil,Intel Celeron,Yok (Free Dos),1.8 GHz,1366 x 768,Yok,12 GB,DDR4,Yok,256 GB,4 - 6 Saat,1.8 GHz,5.994 TL
574,Lenovo,,,"9,3",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"17,3 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,3 Saat ve Altý,2.80 GHz,18.420 TL
575,Asus,,,10,Notebook,2666 MHz,Var,2 kg ve Altý,Yok,14 inç,Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i3,Yok (Free Dos),3.4 GHz,1366 x 768,Yok,12 GB,DDR4,Yok,512 GB,,1.2 GHz,7.948 TL
576,HP,,,10,Notebook,2666 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i3,Yok (Free Dos),4.1 GHz,1366 x 768,Yok,8 GB,DDR4,Yok,512 GB,,3 GHz,8.648 TL
577,HP,4.6,28,10,Notebook,2400 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Windows 10 Home,3.7 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.1 GHz,8.569 TL
578,HP,5.0,4,"9,9",Notebook,2666 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,,2.80 GHz,12.699 TL
579,HP,,,"9,2",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"13,3 inç",Dahili Ekran Kartý,Belirtilmemiþ,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,4 - 6 Saat,Belirtilmemiþ,13.499 TL
580,Dell,5.0,1,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 7,Linux,4 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,2.30 GHz,9.998 TL
581,Dell,,,"9,8",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Belirtilmemiþ,16 GB,DDR4,Yok,512 GB,,2.40 GHz,13.236 TL
582,Lenovo,5.0,1,10,Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Windows 10 Pro,4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,256 GB,4 - 6 Saat,2.3 GHz,13.482 TL
583,Asus,,,,Notebook,2400 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Yok (Free Dos),3.6 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,1 GHz,9.499 TL
584,Asus,,,"9,7",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.40 GHz,9.649 TL
585,Apple,4.4,24,"9,4",Notebook,2666 MHz,Var,2 - 4 kg,Yok,16 inç,Yüksek Seviye Harici Ekran Kartý,GDDR6,9.Nesil,Intel Core i9,macOS,4.8 GHz,3072 x 1920,Yok,16 GB,DDR4,Yok,1 TB,,2.3 GHz,73.000 TL
586,Lenovo,,,"9,9",Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,10. Nesil,Intel Core i5,Windows 11 Home,4.2 GHz,1366 x 768,Yok,8 GB,DDR4,Yok,256 GB,,1.6 GHz,10.165 TL
587,Apple,,,10,Notebook,2666 MHz,Var,1 - 2 kg,Yok,16 inç,Belirtilmemiþ,Belirtilmemiþ,9.Nesil,Intel Core i9,macOS,Yok,3072 x 1920,Var,32 GB,Belirtilmemiþ,Yok,1 TB,,Belirtilmemiþ,75.899 TL
588,Dell,,,"9,8",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Belirtilmemiþ,16 GB,DDR4,Yok,256 GB,,2.4 GHz,20.099 TL
589,Lenovo,,,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Yok (Free Dos),4 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,256 GB,3 Saat ve Altý,2.3 GHz,11.953 TL
590,HP,,,"9,9",Notebook,2666 MHz,Var,1 - 2 kg,Var,"15,6 inç",Dahili Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,,4.2 GHz,11.899 TL
591,Acer,4.4,82,"9,9",Notebook,Belirtilmemiþ,Belirtilmemiþ,2 kg ve Altý,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,3.Nesil,AMD Ryzen 7,Yok (Free Dos),,1920 x 1080,Yok,8 GB,Belirtilmemiþ,Yok,512 GB,4 - 6 Saat,2.30 GHz,10.300 TL
592,Dell,,,"9,8",Notebook,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i7,Windows 10 Home,4.9 GHz,1920 x 1080,Yok,32 GB,DDR4,2 TB,32 GB,,1.80 GHz,21.162 TL
593,Lenovo,,,"9,8",Notebook,2666 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 3,Windows 11 Pro,3.5 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,3 Saat ve Altý,2.6 GHz,7.800 TL
594,Dell,,,"9,8",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i3,Windows 10 Pro,4.1 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,4 - 6 Saat,1.80 GHz,9.750 TL
595,HP,3.4,5,"9,6",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,1.2 GHz,11.499 TL
596,Lenovo,5.0,1,"9,8",Ýkisi Bir Arada,2666 MHz,Var,2 kg ve Altý,Var,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,256 GB,,2.40 GHz,16.876 TL
597,Lenovo,,,"9,9",Notebook,2666 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Windows 10 Home,4.0 GHz,1920 x 1080,Yok,20 GB,DDR4,Yok,1 TB,,2.1 GHz,11.459 TL
598,Asus,,,"9,3",Notebook,2400 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,8.Nesil,Intel Core i9,Yok (Free Dos),4.6 GHz,1366 x 768,Belirtilmemiþ,20 GB,DDR4,Yok,512 GB,,1.8 GHz,10.660 TL
599,Asus,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Windows 10 Home,4.7 GHz,1920 x 1080,Var,24 GB,DDR4,Yok,256 GB,6 Saat ve Üstü,2.9 GHz,19.124 TL
600,HP,,,"9,6",Notebook,2666 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Yok,AMD Athlon Gold,Windows 10 Home,3.3 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.4 GHz,7.999 TL
601,Lenovo,,,10,Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i3,Windows 11 Home,4.1 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,1.3 GHz,8.000 TL
602,Lenovo,4.9,35,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,16 inç,Yüksek Seviye Harici Ekran Kartý,GDDR6,5.Nesil,AMD Ryzen 7,Yok (Free Dos),4.4 GHz,2560 x 1600,Yok,16 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,3.2 GHz,19.379 TL
603,Asus,5.0,1,"9,8",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10. Nesil,Intel Core i7,Windows 10 Pro,3.9 GHz,1920 x 1080,Yok,16 GB,DDR4,1 TB,256 GB,,1.3 GHz,14.003 TL
604,Dell,5.0,1,"9,8",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Belirtilmemiþ,16 GB,DDR4,Yok,512 GB,,2.40 GHz,12.933 TL
605,HP,5.0,6,,Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Harici Ekran Kartý,DDR5,11.Nesil,Intel Core i7,Windows 10 Home,4.7 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,2.80 GHz,16.028 TL
606,Lenovo,4.9,12,10,Ýkisi Bir Arada,3200 MHz,Var,1 - 2 kg,Var,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Windows 10 Home,4.7 GHz,1920 x 1080,Var,16 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,2.8 GHz,21.997 TL
607,Asus,4.1,17,"9,9",Notebook,Belirtilmemiþ,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,1.Nesil,Intel Celeron,Yok (Free Dos),2.8 GHz,1366 x 768,Yok,4 GB,LPDDR4,1 TB,Yok,,1.1 GHz,3.860 TL
608,Apple,4.8,27,"9,7",Notebook,Belirtilmemiþ,Var,1 - 2 kg,Yok,13 inç,Belirtilmemiþ,Belirtilmemiþ,Yok,Apple M1,macOS,Yok,2560 x 1600,Var,8 GB,Belirtilmemiþ,Yok,512 GB,,Belirtilmemiþ,23.159 TL
609,Lenovo,,,"9,9",Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,10. Nesil,Intel Core i5,Windows 11 Home,4.2 GHz,1366 x 768,Yok,8 GB,DDR4,Yok,256 GB,,1.6 GHz,10.165 TL
610,Apple,,,10,Notebook,2666 MHz,Var,1 - 2 kg,Yok,16 inç,Belirtilmemiþ,Belirtilmemiþ,9.Nesil,Intel Core i9,macOS,Yok,3072 x 1920,Var,32 GB,Belirtilmemiþ,Yok,1 TB,,Belirtilmemiþ,75.899 TL
611,Dell,,,"9,8",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Belirtilmemiþ,16 GB,DDR4,Yok,512 GB,,2.40 GHz,13.236 TL
612,Acer,4.4,82,"9,9",Notebook,Belirtilmemiþ,Belirtilmemiþ,2 kg ve Altý,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,3.Nesil,AMD Ryzen 7,Yok (Free Dos),,1920 x 1080,Yok,8 GB,Belirtilmemiþ,Yok,512 GB,4 - 6 Saat,2.30 GHz,10.300 TL
613,Dell,,,"9,8",Notebook,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i7,Windows 10 Home,4.9 GHz,1920 x 1080,Yok,32 GB,DDR4,2 TB,32 GB,,1.80 GHz,21.162 TL
614,Dell,,,"9,8",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i3,Windows 10 Pro,4.1 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,4 - 6 Saat,1.80 GHz,9.750 TL
615,Lenovo,,,"9,8",Notebook,2666 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 3,Windows 11 Pro,3.5 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,3 Saat ve Altý,2.6 GHz,7.800 TL
616,Lenovo,5.0,1,"9,8",Ýkisi Bir Arada,2666 MHz,Var,2 kg ve Altý,Var,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,256 GB,,2.40 GHz,16.876 TL
617,Lenovo,5.0,1,10,Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 5,Windows 10 Pro,4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,256 GB,4 - 6 Saat,2.3 GHz,13.482 TL
618,Asus,,,"9,7",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.40 GHz,9.649 TL
619,Asus,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10. Nesil,Intel Core i5,Windows 10 Home,3.6 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,1 TB,,1 GHz,12.499 TL
620,Asus,,,"9,7",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Windows 10 Home,4.7 GHz,1920 x 1080,Var,24 GB,DDR4,Yok,256 GB,6 Saat ve Üstü,2.9 GHz,19.124 TL
621,HP,,,10,Notebook,2666 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Windows 10 Pro,4.7 GHz,1920 x 1080,Var,32 GB,DDR4,Yok,1 TB,,2.8 GHz,31.108 TL
622,Asus,,,,Oyun Bilgisayarlarý,4800 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,12.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Yok,16 GB,DDR5,Yok,512 GB,,2.3 GHz,27.998 TL
623,Asus,,,9,Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i7,Yok (Free Dos),3.9 GHz,1920 x 1080,Yok,16 GB,DDR4,Belirtilmemiþ,256 GB,,1.3 GHz,12.549 TL
624,HP,5.0,6,,Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Harici Ekran Kartý,DDR5,11.Nesil,Intel Core i7,Windows 10 Home,4.7 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,2.80 GHz,16.028 TL
625,Asus,5.0,1,"9,8",Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10. Nesil,Intel Core i7,Windows 10 Pro,3.9 GHz,1920 x 1080,Yok,16 GB,DDR4,1 TB,256 GB,,1.3 GHz,14.003 TL
626,Lenovo,4.9,35,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,16 inç,Yüksek Seviye Harici Ekran Kartý,GDDR6,5.Nesil,AMD Ryzen 7,Yok (Free Dos),4.4 GHz,2560 x 1600,Yok,16 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,3.2 GHz,19.379 TL
