,Brand,Avg Rating,Total Comment,Seller Rating,Notebook Type,Memory Speed,Bluetooth,Weight,Touch Screen,Screen Size,GPU Type,GPU,CPU Generation,CPU Type,OS,Max CPU Speed,Screen Resolution,Finger Print,RAM,RAM Type,HDD,SSD,Charging Time,CPU Speed,Price
19,HONOR,4.8,48,"9,1",Notebook,Belirtilmemiþ,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Windows 10 Home,Yok,1920 x 1080,Var,8 GB,DDR4,512 GB,512 GB,,Belirtilmemiþ,8.379 TL
20,HP,4.2,16,"9,9",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Windows 11 Home,4.4 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.6 GHz,15.999 TL
21,Asus,4.8,165,,Notebook,2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i3,Windows 10 Home,4.1 GHz,1366 x 768,Yok,4 GB,DDR4,Yok,256 GB,,2.1 GHz,5.988 TL
22,Dell,4.4,7,"9,7",Notebook,2666 MHz,Var,1 - 2 kg,Yok,14 inç,Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i7,Ubuntu,4.7 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,2.80 GHz,16.399 TL
23,Casper,4.4,167,,Notebook,2133 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,Yok,Intel Celeron,Windows 11 Home,2.6 GHz,1366 x 768,Yok,4 GB,DDR3,Yok,120 GB,,1.10 GHz,3.948 TL
24,HP,4.8,20,"9,9",Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Yok (Free Dos),4.4 GHz,1920 x 1080,Yok,8 GB,DDR4,512 GB,512 GB,,4.4 GHz,15.160 TL
25,Dell,4.8,6,10,Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Ubuntu,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,4.2 GHz,8.999 TL
26,Lenovo,4.5,15,"9,9",Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Yok (Free Dos),5 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,4 - 6 Saat,3.4 GHz,18.999 TL
27,Lenovo,4.7,67,10,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Yok (Free Dos),4.4 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,4 - 6 Saat,3.1 GHz,13.499 TL
28,Lenovo,4.7,26,"9,6",Notebook,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Yok (Free Dos),4.4 GHz,1920 x 1080,Yok,8 GB,DDR4,1 TB,256 GB,3 Saat ve Altý,3.1 GHz,14.399 TL
29,Huawei,4.7,206,10,Notebook,2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,GDDR4,Ryzen,AMD Ryzen 5,Windows 11 Home,2.4 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,2.4 GHz,8.499 TL
30,Dell,5.0,11,"9,9",Notebook,3200 MHz,Var,2 - 4 kg,Yok,14 inç,Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Ubuntu,4.2 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,512 GB,,2.4 GHz,12.449 TL
31,Casper,4.6,46,10,Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 11 Home,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,500 GB,,2.40 GHz,7.999 TL
32,HP,5.0,1,"9,7",Oyun Bilgisayarlarý,2933 MHz,Var,2 - 4 kg,Belirtilmemiþ,"15,6 inç",Harici Ekran Kartý,GDDR6,10. Nesil,Intel Core i7,Yok (Free Dos),5 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,,2.2 GHz,23.999 TL
33,Dell,4.4,14,10,Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i3,Ubuntu,4.1 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,1.70 GHz,6.998 TL
34,Asus,4.6,14,10,Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,1.6 GHz,9.299 TL
35,Asus,4.7,11,10,Notebook,2400 MHz,Var,1 - 2 kg,Belirtilmemiþ,14 inç,Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Yok (Free Dos),4.4 GHz,2880 x 1800,Belirtilmemiþ,16 GB,DDR4,512 GB,512 GB,6 Saat ve Üstü,3.1 GHz,15.999 TL
36,Asus,4.7,22,"9,9",Notebook,Belirtilmemiþ,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,Belirtilmemiþ,10.Nesil,Intel Core i5,Yok (Free Dos),3.6 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,8 GB,4 - 6 Saat,1 GHz,9.380 TL
37,Lenovo,4.8,33,"9,6",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.4 GHz,8.497 TL
38,Dell,5.0,8,"9,6",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Ubuntu,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,2.4 GHz,10.944 TL
39,Dell,4.6,45,"9,9",Notebook,3200 MHz,Var,2 kg ve Altý,Yok,"15,6 inç",Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Ubuntu,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.4 GHz,12.999 TL
40,Dell,4.6,11,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Ubuntu,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.4 GHz,11.161 TL
41,HP,4.5,4,"9,7",Oyun Bilgisayarlarý,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Yok (Free Dos),5 GHz,2560 x 1440,Yok,16 GB,DDR4,Yok,1 TB,,2.2 GHz,28.499 TL
42,Asus,4.8,124,09,Notebook,2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i3,Yok (Free Dos),3.4 GHz,1920 x 1080,Yok,4 GB,DDR4,Yok,256 GB,,1.2 GHz,4.999 TL
43,Asus,4.6,56,10,Notebook,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,10.Nesil,Intel Core i5,Yok (Free Dos),4.5 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,2.5 GHz,11.999 TL
44,Lenovo,4.6,148,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,5.Nesil,AMD Ryzen 5,Windows 10 Home,4 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,,2.1 GHz,7.399 TL
45,Lenovo,4.8,72,"9,8",Notebook,2666 MHz,Belirtilmemiþ,2 - 4 kg,Belirtilmemiþ,14 inç,Dahili Ekran Kartý,Belirtilmemiþ,4.Nesil,Intel Celeron,Yok (Free Dos),2.6 GHz,1366 x 768,Belirtilmemiþ,4 GB,DDR4,Yok,256 GB,,1.1 GHz,3.499 TL
46,Lenovo,5.0,3,10,Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,Ryzen,AMD Ryzen 7,Yok (Free Dos),4.3 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,1.8 GHz,9.998 TL
47,Casper,4.3,90,10,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Windows 11 Home,4.5 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,500 GB,,2.70 GHz,14.998 TL
48,Dell,3.2,5,,Oyun Bilgisayarlarý,3200 MHz,Var,Belirtilmemiþ,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,Ryzen,AMD Ryzen 5,Windows 11 Home,Yok,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,,Belirtilmemiþ,13.998 TL
49,Lenovo,4.8,4,"9,9",Notebook,3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i7,Yok (Free Dos),4.7 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.8 GHz,13.299 TL
50,Huawei,4.7,250,"9,8",Notebook,Belirtilmemiþ,Var,2 kg ve Altý,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,10.Nesil,Intel Core i3,Windows 10 Home,4.1 GHz,1920 x 1080,Var,8 GB,DDR4,Yok,256 GB,4 - 6 Saat,Belirtilmemiþ,7.098 TL
51,HP,4.6,24,10,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i7,Yok (Free Dos),4.8 GHz,1920 x 1080,Belirtilmemiþ,16 GB,DDR4,1 TB,256 GB,3 Saat ve Altý,3.1 GHz,17.599 TL
52,Lenovo,4.7,87,10,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,5.Nesil,AMD Ryzen 5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,3.3 GHz,19.998 TL
53,Huawei,4.8,9,"9,6",Notebook,1674 MHz,Var,1 - 2 kg,Belirtilmemiþ,"15,6 inç",Dahili Ekran Kartý,GDDR4,11.Nesil,Intel Core i5,Windows 11 Home,1.7 GHz,1920 x 1080,Var,8 GB,DDR4,256 GB,256 GB,4 - 6 Saat,1.73 GHz,9.178 TL
